DateShort	TimeFrom	TimeTo	Value	Temperature
31/12/2015	23:00	0:00	11373	7.652941176
1/1/2016	0:00	1:00	11102	5.291176471
1/1/2016	1:00	2:00	10657	5.291176471
1/1/2016	2:00	3:00	10238	5.291176471
1/1/2016	3:00	4:00	10018	5.291176471
1/1/2016	4:00	5:00	10017	5.291176471
1/1/2016	5:00	6:00	10231	5.291176471
1/1/2016	6:00	7:00	10552	5.291176471
1/1/2016	7:00	8:00	10824	5.291176471
1/1/2016	8:00	9:00	11119	5.291176471
1/1/2016	9:00	10:00	11659	5.291176471
1/1/2016	10:00	11:00	11945	5.291176471
1/1/2016	11:00	12:00	12038	5.291176471
1/1/2016	12:00	13:00	12097	5.291176471
1/1/2016	13:00	14:00	12210	5.291176471
1/1/2016	14:00	15:00	12304	5.291176471
1/1/2016	15:00	16:00	12758	5.291176471
1/1/2016	16:00	17:00	13806	5.291176471
1/1/2016	17:00	18:00	13847	5.291176471
1/1/2016	18:00	19:00	13604	5.291176471
1/1/2016	19:00	20:00	13211	5.291176471
1/1/2016	20:00	21:00	12644	5.291176471
1/1/2016	21:00	22:00	12071	5.291176471
1/1/2016	22:00	23:00	11415	5.291176471
1/1/2016	23:00	0:00	10827	5.291176471
2/1/2016	0:00	1:00	10300	5.235294118
2/1/2016	1:00	2:00	10003	5.235294118
2/1/2016	2:00	3:00	9900	5.235294118
2/1/2016	3:00	4:00	9890	5.235294118
2/1/2016	4:00	5:00	10031	5.235294118
2/1/2016	5:00	6:00	10539	5.235294118
2/1/2016	6:00	7:00	11332	5.235294118
2/1/2016	7:00	8:00	12376	5.235294118
2/1/2016	8:00	9:00	13353	5.235294118
2/1/2016	9:00	10:00	14011	5.235294118
2/1/2016	10:00	11:00	14341	5.235294118
2/1/2016	11:00	12:00	14373	5.235294118
2/1/2016	12:00	13:00	14162	5.235294118
2/1/2016	13:00	14:00	13949	5.235294118
2/1/2016	14:00	15:00	13881	5.235294118
2/1/2016	15:00	16:00	14362	5.235294118
2/1/2016	16:00	17:00	15328	5.235294118
2/1/2016	17:00	18:00	14986	5.235294118
2/1/2016	18:00	19:00	14545	5.235294118
2/1/2016	19:00	20:00	13946	5.235294118
2/1/2016	20:00	21:00	13153	5.235294118
2/1/2016	21:00	22:00	12539	5.235294118
2/1/2016	22:00	23:00	11919	5.235294118
2/1/2016	23:00	0:00	11242	5.235294118
3/1/2016	0:00	1:00	10652	5.220588235
3/1/2016	1:00	2:00	10281	5.220588235
3/1/2016	2:00	3:00	10092	5.220588235
3/1/2016	3:00	4:00	10055	5.220588235
3/1/2016	4:00	5:00	10138	5.220588235
3/1/2016	5:00	6:00	10321	5.220588235
3/1/2016	6:00	7:00	10812	5.220588235
3/1/2016	7:00	8:00	11519	5.220588235
3/1/2016	8:00	9:00	12164	5.220588235
3/1/2016	9:00	10:00	12754	5.220588235
3/1/2016	10:00	11:00	13140	5.220588235
3/1/2016	11:00	12:00	13364	5.220588235
3/1/2016	12:00	13:00	13246	5.220588235
3/1/2016	13:00	14:00	13122	5.220588235
3/1/2016	14:00	15:00	13142	5.220588235
3/1/2016	15:00	16:00	13685	5.220588235
3/1/2016	16:00	17:00	14792	5.220588235
3/1/2016	17:00	18:00	14606	5.220588235
3/1/2016	18:00	19:00	14311	5.220588235
3/1/2016	19:00	20:00	13905	5.220588235
3/1/2016	20:00	21:00	13220	5.220588235
3/1/2016	21:00	22:00	12412	5.220588235
3/1/2016	22:00	23:00	11623	5.220588235
3/1/2016	23:00	0:00	10937	5.220588235
4/1/2016	0:00	1:00	10584	3.452941176
4/1/2016	1:00	2:00	10433	3.452941176
4/1/2016	2:00	3:00	10442	3.452941176
4/1/2016	3:00	4:00	10482	3.452941176
4/1/2016	4:00	5:00	11003	3.452941176
4/1/2016	5:00	6:00	12311	3.452941176
4/1/2016	6:00	7:00	14340	3.452941176
